frameTime,meanFrameTumorCells,sdFrameTumorCells,meanNecrotic,sdNecrotic,meanQuiescent,sdQuiescent,meanProliferative2,sdProliferative2,meanHypoxic,sdHypoxic,meanApoptotic,sdApoptotic,meanProliferative1,sdProliferative1,meanNormoxic,sdNormoxic,meanMigrate,sdMigrate,meanKilled,sdKilled
0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,723,0,0,0,0,0
1,4,0,0,0,2,0,2,0,0,0,0,0,0,0,708,0,0,0,0,0
2,4,0,0,0,2,0,2,0,0,0,0,0,0,0,696,0,0,0,0,0
3,4,0,0,0,2,0,2,0,0,0,0,0,0,0,688,0,0,0,0,0
4,4,0,0,0,2,0,2,0,0,0,0,0,0,0,682,0,0,0,0,0
5,4,0,0,0,2,0,2,0,0,0,0,0,0,0,676,0,0,0,0,0
6,4,0,0,0,2,0,2,0,0,0,0,0,0,0,670,0,0,0,0,0
7,4,0,0,0,2,0,2,0,0,0,0,0,0,0,664,0,0,0,0,0
8,4,0,0,0,2,0,2,0,0,0,0,0,0,0,659,0,0,0,0,0
9,6,0,0,0,2,0,0,0,0,0,0,0,4,0,655.9,0.316228,0,0,0,0
10,6,0,0,0,2,0,0,0,0,0,0,0,4,0,652,0,0,0,0,0
11,6,0,0,0,2,0,0,0,0,0,0,0,4,0,647,0,0,0,0,0
12,6,0,0,0,2,0,0,0,0,0,0,0,4,0,644.8,0.421637,0,0,0,0
13,6,0,0,0,2,0,0,0,0,0,0,0,4,0,640.8,0.632456,0,0,0,0
14,6,0,0,0,2,0,0,0,0,0,0,0,4,0,635.4,0.699206,0,0,0,0
15,6,0,0,0,2,0,0,0,0,0,0,0,4,0,632.2,0.632456,0,0,0,0
16,6,0,0,0,2,0,0,0,0,0,0,0,4,0,629.9,0.316228,0,0,0,0
17,6,0,0,0,2,0,0,0,0,0,0,0,4,0,628.8,0.632456,0,0,0,0
18,6,0,0,0,6,0,0,0,0,0,0,0,0,0,626,0,0,0,0,0
19,6,0,0,0,6,0,0,0,0,0,0,0,0,0,625.6,0.516398,0,0,0,0
20,6,0,0,0,6,0,0,0,0,0,0,0,0,0,623.4,0.699206,0,0,0,0
21,6,0,0,0,5.8,0.421637,0.2,0.421637,0,0,0,0,0,0,621.6,0.843274,0,0,0,0
22,6,0,0,0,5.8,0.421637,0.2,0.421637,0,0,0,0,0,0,619.4,0.516398,0,0,0,0
23,6,0,0,0,5.6,0.516398,0.4,0.516398,0,0,0,0,0,0,616.7,0.674949,0,0,0,0
24,6,0,0,0,5.5,0.527046,0.5,0.527046,0,0,0,0,0,0,614.5,0.971825,0,0,0,0
25,6,0,0,0,5.5,0.527046,0.5,0.527046,0,0,0,0,0,0,612.7,0.483046,0,0,0,0
26,6,0,0,0,5.5,0.527046,0.5,0.527046,0,0,0,0,0,0,609.7,0.483046,0,0,0,0
27,6,0,0,0,5.5,0.527046,0.5,0.527046,0,0,0,0,0,0,608.6,0.516398,0,0,0,0
28,6,0,0,0,5.5,0.527046,0.5,0.527046,0,0,0,0,0,0,606.8,0.421637,0,0,0,0
29,6,0,0,0,5.3,0.823273,0.7,0.823273,0,0,0,0,0,0,605.6,1.26491,0,0,0,0
30,6.2,0.421637,0,0,5.3,0.823273,0.5,0.707107,0,0,0,0,0.4,0.843274,603.3,0.948683,0,0,0,0
31,6.2,0.421637,0,0,5.2,0.788811,0.6,0.699206,0,0,0,0,0.4,0.843274,600.6,0.516398,0,0,0,0
32,6.4,0.516398,0,0,5.1,0.737865,0.5,0.527046,0,0,0,0,0.8,1.0328,597.8,1.22927,0,0,0,0
33,6.5,0.527046,0,0,5.1,0.737865,0.4,0.516398,0,0,0,0,1,1.05409,597.2,1.13529,0,0,0,0
34,6.5,0.527046,0,0,5,0.816497,0.5,0.527046,0,0,0,0,1,1.05409,595.8,1.22927,0,0,0,0
35,6.5,0.527046,0,0,5,0.816497,0.5,0.527046,0,0,0,0,1,1.05409,595.3,0.674949,0,0,0,0
36,6.5,0.527046,0,0,5,0.816497,0.5,0.527046,0,0,0,0,1,1.05409,594.5,0.527046,0,0,0,0
37,6.5,0.527046,0,0,5,0.816497,0.5,0.527046,0,0,0,0,1,1.05409,593.1,0.737865,0,0,0,0
38,6.7,0.823273,0,0,5,0.816497,0.3,0.483046,0,0,0,0,1.4,1.64655,591.3,0.948683,0,0,0,0
39,6.7,0.823273,0,0,5.4,0.699206,0.3,0.483046,0,0,0,0,1,1.41421,590.3,1.1595,0,0,0,0
40,6.8,0.788811,0,0,5.4,0.699206,0.2,0.421637,0,0,0,0,1.2,1.39841,588.6,0.699206,0,0,0,0
41,6.9,0.737865,0,0,5.8,0.632456,0.1,0.316228,0,0,0,0,1,1.05409,587,0.942809,0,0,0,0
42,6.9,0.737865,0,0,6,0.666667,0.1,0.316228,0,0,0,0,0.8,1.0328,586,1.05409,0,0,0,0
43,7,0.816497,0,0,5.7,0.823273,0.2,0.421637,0,0,0.1,0.316228,1,1.05409,585.3,1.05935,0,0,0,0
44,7,0.816497,0,0,5.6,0.843274,0.3,0.483046,0,0,0.1,0.316228,1,1.05409,584.6,1.42984,0,0,0,0
45,7,0.816497,0,0,5.3,1.05935,0.6,0.699206,0,0,0.1,0.316228,1,1.05409,583.9,1.66333,0,0,0,0
46,7,0.816497,0,0,5.1,1.28668,0.8,0.918937,0,0,0.1,0.316228,1,1.05409,582.8,2.14994,0,0,0,0
47,7,0.816497,0,0,5.2,1.61933,1.1,1.19722,0,0,0.1,0.316228,0.6,0.966092,582.3,2.66875,0,0,0,0
48,7,0.816497,0,0,5,1.69967,1.3,1.33749,0,0,0.1,0.316228,0.6,0.966092,581.1,2.68535,0,0,0,0
49,7,0.816497,0,0,5.1,1.37032,1.4,1.3499,0,0,0.1,0.316228,0.4,0.843274,580.2,2.85968,0,0,0,0
50,7,0.816497,0,0,5.2,1.39841,1.5,1.35401,0,0,0.1,0.316228,0.2,0.632456,579.3,2.98329,0,0,0,0
