,mean,sd,hdi_3%,hdi_97%,mpv
c5,-6.3856899288e-05,4.35247024e-07,-6.4658270996e-05,-6.3041053031e-05,-6.383169700283887e-05
c7,9.1201954174e-05,5.19885299e-07,9.0242799795e-05,9.217831251e-05,9.1170311250173e-05
c12,-0.006975483004909,4.8012939183e-05,-0.007054319472346,-0.006890343064262,-0.00699713670914738
c13,0.036110691822803,0.000137054812446,0.035860258183614,0.036361501498771,0.03611624105029392
c15,-2.6400085233e-05,1.24695314e-07,-2.6634987781e-05,-2.6168619635e-05,-2.6409788900843544e-05
c22,0.012025176262227,0.000186485276539,0.011692241289128,0.012385932788702,0.012004967655545883
c23,-0.022107031449827,0.000386336267325,-0.022860730670054,-0.021418133100226,-0.022060309136238136
N0,-0.148153243051919,0.014654713717425,-0.166955062078029,-0.119786852551592,-0.1625022623691706
Q0,16.419114300747474,0.013859782722227,16.393984609067317,16.43731248166526,16.427448201850904
P0,11.266678780123048,0.009533701745949,11.250183686972944,11.278131407346415,11.272647494193514
std_deviation[0],3.350978427950533,0.100649851233162,3.164368445546756,3.53909315691944,3.3383448024121285
std_deviation[1],3.297544088965978,0.094134613527654,3.121867343032396,3.474189502640386,3.2731766573396177
std_deviation[2],1.929931483674871,0.060806004542195,1.813003677915987,2.040422385361762,1.9304938765126023
