w_u_val,w_T_val,D_ub_val,use_tumor_at_final_time,use_D,lambda_val,fig_number,final_obj
1.0,1.0,2,False,True,0.06434074,1,5415822.244410916
1.0,1.0,2,True,True,0.06434074,2,751.392608546107
1.0,1.0,16,False,True,0.06434074,3,5415822.244410919
1.0,1.0,16,True,True,0.06434074,4,751.3926085428031
1.0,100.0,2,False,True,0.06434074,5,541512979.6936926
1.0,100.0,2,True,True,0.06434074,6,19596.897552371636
1.0,100.0,16,False,True,0.06434074,7,541512979.6936926
1.0,100.0,16,True,True,0.06434074,8,19596.89755236953
100.0,1.0,2,False,True,0.06434074,9,5483129.195925455
100.0,1.0,2,True,True,0.06434074,10,17149.844632030934
100.0,1.0,16,False,True,0.06434074,11,5483129.195925454
100.0,1.0,16,True,True,0.06434074,12,17149.844632019747
100.0,100.0,2,False,True,0.06434074,13,541582224.44566
100.0,100.0,2,True,True,0.06434074,14,75139.2608966086
100.0,100.0,16,False,True,0.06434074,15,541582224.4456599
100.0,100.0,16,True,True,0.06434074,16,75139.2608969129
