w_u_val,w_T_val,U_ub_val,use_tumor_at_final_time,use_U,lambda_val,fig_number,final_obj
1.0,1.0,2,False,True,0.00010861,1,147920400.30667603
1.0,1.0,2,True,True,0.00010861,2,257145.86608318516
1.0,1.0,16,False,True,0.00010861,3,120195125.87790892
1.0,1.0,16,True,True,0.00010861,4,200061.01353632266
1.0,100.0,2,False,True,0.00010861,5,14792039832.667616
1.0,100.0,2,True,True,0.00010861,6,25714491.375642043
1.0,100.0,16,False,True,0.00010861,7,12019511003.790854
1.0,100.0,16,True,True,0.00010861,8,20004847.12702678
100.0,1.0,2,False,True,0.00010861,9,147920598.30668
100.0,1.0,2,True,True,0.00010861,10,257157.31574478492
100.0,1.0,16,False,True,0.00010861,11,120196709.8779406
100.0,1.0,16,True,True,0.00010861,12,200301.6532442011
100.0,100.0,2,False,True,0.00010861,13,14792040030.667622
100.0,100.0,2,True,True,0.00010861,14,25714586.60717505
100.0,100.0,16,False,True,0.00010861,15,12019512587.790888
100.0,100.0,16,True,True,0.00010861,16,20006101.3524696
