w_u_val,w_T_val,D_ub_val,use_tumor_at_final_time,use_D,lambda_val,fig_number,final_obj
1.0,1.0,2,False,True,0.20733444,1,1706301.9361193476
1.0,1.0,2,True,True,0.20733444,2,2.0209569744279525
1.0,1.0,16,False,True,0.20733444,3,1499035.0345319465
1.0,1.0,16,True,True,0.20733444,4,2.0209570978310194
1.0,100.0,2,False,True,0.20733444,5,170629141.1736788
1.0,100.0,2,True,True,0.20733444,6,18.458254247493276
1.0,100.0,16,False,True,0.20733444,7,149870855.8973834
1.0,100.0,16,True,True,0.20733444,8,18.082086641524956
100.0,1.0,2,False,True,0.20733444,9,1707159.6093595072
100.0,1.0,2,True,True,0.20733444,10,42.60717260638029
100.0,1.0,16,False,True,0.20733444,11,1513112.4845513175
100.0,1.0,16,True,True,0.20733444,12,42.60717261026399
100.0,100.0,2,False,True,0.20733444,13,170630193.60658208
100.0,100.0,2,True,True,0.20733444,14,202.10787629124565
100.0,100.0,16,False,True,0.20733444,15,149903503.4508621
100.0,100.0,16,True,True,0.20733444,16,202.1088561319733
