w_u_val,w_T_val,U_ub_val,use_tumor_at_final_time,use_U,lambda_val,fig_number,final_obj
1.0,1.0,2,False,False,0.0,1,96848564.6767895
1.0,1.0,2,True,False,0.0,2,72964.37395609467
1.0,1.0,16,False,False,0.0,3,9909465.623803655
1.0,1.0,16,True,False,0.0,4,1091.8600946957583
1.0,100.0,2,False,False,0.0,5,9684856466.603745
1.0,100.0,2,True,False,0.0,6,7296433.6617307225
1.0,100.0,16,False,False,0.0,7,990946455.1303382
1.0,100.0,16,True,False,0.0,8,109078.69850961921
100.0,1.0,2,False,False,0.0,9,96848565.68523403
100.0,1.0,2,True,False,0.0,10,72967.86535162333
100.0,1.0,16,False,False,0.0,11,9909572.813481316
100.0,1.0,16,True,False,0.0,12,1174.0657299993036
100.0,100.0,2,False,False,0.0,13,9684856467.612194
100.0,100.0,2,True,False,0.0,14,7296437.156758001
100.0,100.0,16,False,False,0.0,15,990946562.3570873
100.0,100.0,16,True,False,0.0,16,109185.7180217693
