w_u_val,w_T_val,U_ub_val,use_tumor_at_final_time,use_U,lambda_val,fig_number,final_obj
1.0,1.0,2,False,True,0.1,1,2119586.8815218424
1.0,1.0,2,False,True,1.0,2,1402415.7166580535
1.0,1.0,2,True,True,0.1,3,0.4947918615269168
1.0,1.0,2,True,True,1.0,4,0.04593106382221329
1.0,1.0,16,False,True,0.1,5,1598164.085160228
1.0,1.0,16,False,True,1.0,6,1367417.7823903144
1.0,1.0,16,True,True,0.1,7,0.19018537405887315
1.0,1.0,16,True,True,1.0,8,0.04631494258074388
1.0,100.0,2,False,True,0.1,9,211958490.15220106
1.0,100.0,2,False,True,1.0,10,140241373.58831483
1.0,100.0,2,True,True,0.1,11,41.45930229804772
1.0,100.0,2,True,True,1.0,12,3.772470918380658
1.0,100.0,16,False,True,0.1,13,159814824.5159834
1.0,100.0,16,False,True,1.0,14,136740240.62171006
1.0,100.0,16,True,True,0.1,15,4.5894640740121115
1.0,100.0,16,True,True,1.0,16,74.15248027718657
100.0,1.0,2,False,True,0.1,17,2119784.8815260176
100.0,1.0,2,False,True,1.0,18,1402613.7166623925
100.0,1.0,2,True,True,0.1,19,2.0891401703424943
100.0,1.0,2,True,True,1.0,20,0.1903822940436496
100.0,1.0,16,False,True,0.1,21,1599722.1086847368
100.0,1.0,16,False,True,1.0,22,1368761.9672782673
100.0,1.0,16,True,True,0.1,23,2.0453347601619476
100.0,1.0,16,True,True,1.0,24,0.19039268408819163
100.0,100.0,2,False,True,0.1,25,211958688.15218332
100.0,100.0,2,False,True,1.0,26,140241571.5883188
100.0,100.0,2,True,True,0.1,27,49.433068587875816
100.0,100.0,2,True,True,1.0,28,4.549830213918699
100.0,100.0,16,False,True,0.1,29,159816408.5160228
100.0,100.0,16,False,True,1.0,30,136741778.20452473
100.0,100.0,16,True,True,0.1,31,19.018019783547892
100.0,100.0,16,True,True,1.0,32,508025.45867397357
